"","Polarity","Handle","freq"
"1","negative","@baggage",78
"2","negative","@bookings",121
"3","negative","@checkin",3
"4","negative","@easyJet",961
"5","negative","@flight",527
"6","negative","@security",8
"7","negative","@terminal",7
"8","neutral","@baggage",24
"9","neutral","@bookings",50
"10","neutral","@checkin",1
"11","neutral","@easyJet",499
"12","neutral","@flight",210
"13","neutral","@security",7
"14","neutral","@terminal",1
"15","positive","@baggage",59
"16","positive","@bookings",106
"17","positive","@easyJet",1540
"18","positive","@flight",219
"19","positive","@security",16
"20","positive","@terminal",14
